"Lesson 1:","",""
"私","わたし","я"
"八日","ようか","восьмое число месяца"
"九日","ここのか","девятое число месяца"
"十日","とおか","десятое число месяца"
"十四日","じゅうよっか","четырнадцатое число месяца"
"二十日","はつか","двадцатое число месяца"
"二十四日","にじゅよっか","двадцать четвёртое число месяца"
"何日","なんにち","какое число месяца"
"いつ","いつか","когда"
"誕生日","たんじょうび","день рождения"
"普通","ふつう","обычный поезд (со всеми остановками)"
"急行","きゅうこう","скорый поезд"
"特急","とっきゅう","экспресс"
"次の","つぎの","следующий"
"どういたしまして。","どういたしまして。","пожалуйста; не за что"
"～番線","～ばんせん","～-й путь (платформа)"
"祝祭日","しゅくさいじつ","государственные праздники"
"元日","がんじつ","Новый год (1 января)"
"成人の日","せいじんのひ","День совершеннолетия"
"建国記念の日","きんこくきねんひ","День основания государства"
"春分の日","しゅんぶんのひ","День весеннего равноденствия"
"昭和の日","しょうわのひ","День Шова"
"憲法記念日","けんぽうきねんび","День Конституции"
"緑の日","みどりのひ","День зелени"
"子供の日","こどものひ","День детей"
"海の日","うみのひ","День моря"
"敬老の日","けいろうのひ","День почитания пожилых"
"秋分の日","しゅうぶんのひ","День осеннего равноденствия"
"体育の日","たいいくのひ","День здоровья и спорта"
"文化の日","ぶんかのひ","День культуры"
"勤労感謝の日","きんろうかんしゃのひ","День благодарения труду"
"天皇誕生日","てんのうたんじょうび","День рождения императора"
"","",""
"Lesson 6:","",""
"食べます","たべます","есть, кушать"
"飲みます","のみます","пить"
"吸います","すいます","курить"
"見ます","みます","смотреть, видеть"
"聞きます","ききます","слушать, слышать"
"読みます","よみます","читать"
"書きます","かきます","писать"
"買います","かいます","покупать"
"撮ります","とります","фотографировать"
"会います","あいます","встречаться"
"ごはん","ごはん","еда; варёный рис"
"朝ごはん","あさごはん","завтрак"
"昼ごはん","ひるごはん","обед"
"晩ごはん","ばんごはん","ужин"
"卵","たまご","яйцо"
"肉","にく","мясо"
"魚","さかな","рыба"
"野菜","やさい","овощи"
"果物","くだもの","фрукты"
"水","みず","вода"
"お茶","おちゃ","зелёный чай"
"紅茶","こうちゃ","чёрный чай"
"牛乳","ぎゅうにゅう","молоко"
"「お」酒","「お」さけ","сакэ (японское рисовое вино)"
"映画","えいが","фильм, кино"
"手紙","てがみ","письмо"
"写真","しゃしん","фотография"
"店","みせ","магазин"
"庭","にわ","сад"
"宿題","しゅくだい","домашнее задание"
"「お」花見","「お」はなみ","любование цветением сакуры"
"いっしょに","いっしょに","вместе"
"ちょっと","ちょっと","немного; на минутку"
"いつも","いつも","всегда, обычно"
"時々","ときどき","иногда"
"それから","それから","затем, после этого"
"きゅうり","きゅうり","огурец"
"茄子","なす","баклажан"
"豆","まめ","бобы, горох"
"ねぎ","ねぎ","зелёный лук"
"白菜","はくさい","пекинская капуста"
"ほうれん草","ほうれんそう","шпинат"
"しゃがい芋","しゃがいも","картофель"
"大根","だいこん","дайкон (японская редька)"
"玉ねぎ","たまねぎ","репчатый лук"
"人参","にんじん","морковь"
"苺","いちご","клубника"
"桃","もも","персик"
"西瓜","すいか","арбуз"
"葡萄","ぶどう","виноград"
"梨","なし","груша (японская)"
"柿","かき","хурма"
"みかん","みかん","мандарин"
"りんご","りんご","яблоко"
"米","こめ","рис (сырой)"
"","",""
"","",""
"Lesson 7","",""
"切ります","きります","резать, нарезать"
"送ります","おくります","отправлять"
"あげます","あげます","давать, дарить"
"もらいます","もらいます","получать"
"貸します","かします","одалживать (давать в долг)"
"借ります","かります","брать в долг, занимать"
"教えます","おしえます","учить, преподавать"
"習います","ならいます","учиться (чему-либо)"
"かけます","かけます","звонить (по телефону)"
"手","て","рука"
"はし","はし","палочки для еды"
"はさみ","はさみ","ножницы"
"紙","かみ","бумага"
"花","はな","цветок"
"荷物","にもつ","багаж, посылка"
"お金","おかね","деньги"
"切符","きっぷ","билет"
"父","ちち","(мой) отец"
"母","はは","(моя) мать"
"お父さん","おとうさん","(чей-то) отец"
"お母さん","おかあさん","(чья-то) мать"
"もう","もう","уже"
"まだ","まだ","ещё нет"
"これから","これから","отныне, вскоре"
"ごめんください。","ごめんください。","можно войти? есть кто-нибудь дома?"
"いらっしゃい。","いらっしゃい。","добро пожаловать"
"失礼します。","しつれいします。","извините за беспокойство"
"いかがですか。","いかがですか。","не хотите ли [чего-нибудь]?"
"いただきます。","いただきます。","приятного аппетита (говорят перед едой)"
"旅行","りょこう","путешествие, поездка"
"お土産","おみやげ","сувенир, подарок"
"","",""
"","",""
"Lesson 8:","",""
"きれい「な」","きれい「な」","красивый; чистый"
"静か「な」","しずか「な」","тихий"
"にぎやか「な」","にぎやか「な」","оживлённый, людный"
"有名「な」","ゆうめい「な」","известный"
"親切「な」","しんせつ「な」","добрый, любезный"
"元気「な」","げんき「な」","бодрый, здоровый"
"暇「な」","ひま「な」","свободный (о времени)"
"便利「な」","べんり「な」","удобный"
"すてき「な」","すてき「な」","прекрасный, замечательный"
"大きい","おおきい","большой"
"小さい","ちいさい","маленький"
"新しい","あたらしい","новый"
"古い","ふるい","старый"
"いい（よい）","いい（よい）","хороший"
"悪い","わるい","плохой"
"暑い","あつい","жаркий"
"寒い","さむい","холодный (о погоде)"
"冷たい","つめたい","холодный (на ощупь)"
"難しい","むずかしい","трудный"
"易しい","やさしい","лёгкий, простой"
"高い","たかい","дорогой; высокий"
"安い","やすい","дешёвый"
"低い","ひくい","низкий"
"おもしろい","おもしろい","интересный"
"おいしい","おいしい","вкусный"
"忙しい","いそがしい","занятой"
"楽しい","たのしい","приятный, весёлый"
"白い","しろい","белый"
"黒い","くろい","чёрный"
"赤い","あかい","красный"
"青い","あおい","синий"
"桜","さくら","сакура (цветок вишни)"
"山","やま","гора"
"町","まち","город"
"食べ物","たべもの","еда"
"車","くるま","машина, автомобиль"
"所","ところ","место"
"寮","りょう","общежитие"
"勉強","べんきょう","учёба"
"生活","せいがつ","жизнь, быт"
"「お」仕事","「お」しごと","работа, дело"
"どう","どう","как"
"どんな～","どんな～","какой ~, что за ~"
"緑","みどり","зелёный"
"紫","むらさき","фиолетовый"
"黄色い","きいろい","жёлтый"
"茶色い","ちゃいろい","коричневый"
"味","あじ","вкус"
"甘い","あまい","сладкий"
"辛い","からい","острый"
"苦い","にがい","горький"
"塩辛い","しおからい","солёный"
"酸っぱい","すっぱい","кислый"
"濃い","こい","насыщенный, крепкий (о вкусе)"
"薄い","うすい","слабый, неяркий (о вкусе)"
"","",""
"","",""
"Lesson 9","",""
"わかります","わかります","понимать"
"好き「な」","すき「な」","нравиться, любить"
"嫌い「な」","きらい「な」","не нравиться, не любить"
"上手「な」","じょうず「な」","умелый, хорошо умеющий"
"下手「な」","へた「な」","неумелый, плохо умеющий"
"料理","りょうり","блюдо; готовка"
"飲み物","のみもの","напитки"
"野球","やきゅう","бейсбол"
"音楽","おんがく","музыка"
"歌","うた","песня"
"絵","え","картина, рисунок"
"字","じ","буква, знак"
"漢字","かんじ","иероглиф (кандзи)"
"細かいお金","こまかいおかね","мелочь (мелкие деньги)"
"時間","じかん","время"
"用事","ようじ","дело, поручение"
"約束","やくそく","договорённость, обещание"
"ご主人","ごしゅじん","(чей-то) муж"
"夫/主人","おっと/しゅじん","(мой) муж"
"奥さん","おくさん","(чья-то) жена"
"妻/家内","つま/かない","(моя) жена"
"子ども","こども","ребёнок"
"よく","よく","хорошо; часто, много"
"だいたい","だいたい","в основном, приблизительно"
"たくさん","たくさん","много"
"少し","すこし","немного"
"全然","ぜんぜん","совсем не (с отрицанием)"
"早く","はやく","рано; быстро"
"どうして","どうして","почему"
"残念です「ね」","ざんねんです「ね」","как жаль; очень жаль"
"民謡","みんよう","народная музыка"
"演歌","えんか","энка (традиционная японская эстрада)"
"喜劇","きげき","комедия (фильм)"
"卓球","たっきゅう","настольный теннис"
"相撲","すもう","сумо"
"柔道","じゅうどう","джудо"
"剣道","けんどう","кэндо (японское фехтование)"
"水泳","すいえい","плавание"
"","",""
"","",""
"Lesson 10:","",""
"いろいろ「な」","いろいろ「な」","разный, разнообразный"
"男の人","おとこのひと","мужчина"
"女の人","おんなのひと","женщина"
"男の子","おとこのこ","мальчик"
"女の子","おんなのこ","девочка"
"犬","いぬ","собака"
"猫","ねこ","кошка"
"木","き","дерево"
"物","もの","вещь, предмет"
"電池","でんち","батарейка"
"箱","ほこ","коробка"
"冷蔵庫","れいぞうこ","холодильник"
"棚","たな","полка"
"窓","まど","окно"
"公園","こうえん","парк"
"喫茶店","きっさてん","кафе"
"本屋","ほんや","книжный магазин"
"乗り場","のりば","остановка (стоянка такси и автобусов)"
"県","けん","префектура"
"上","うえ","на, над, сверху"
"下","した","под, внизу"
"前","まえ","перед, спереди"
"うしろ","うしろ","сзади, позади"
"右","みぎ","справа"
"左","ひだり","слева"
"中","なか","в, внутри"
"外","そと","снаружи"
"隣","となり","рядом, по соседству"
"近く","ちかく","поблизости, вблизи"
"間","あいだ","между, посередине"
"玄関","げんかん","прихожая, вход"
"風呂場","ふろば","ванная комната"
"洗面所","せんめんじょ","умывальная комната"
"台所","だいどころ","кухня"
"食堂","しょくどう","столовая"
"居間","いま","гостиная"
"寝室","しんしつ","спальня"
"廊下","そうか","коридор"
"","",""
"","",""
"Lesson 11:","",""
"います","います","быть, находиться; иметь (ребёнка)"
"かかります","かかります","требоваться (о времени или деньгах)"
"休みます","やすみます","брать выходной"
"一つ","ひとつ","один (предмет)"
"二つ","ふたつ","два (предмета)"
"三つ","みっつ","три (предмета)"
"四つ","よっつ","четыре (предмета)"
"五つ","いつつ","пять (предметов)"
"六つ","むっつ","шесть (предметов)"
"七つ","ななつ","семь (предметов)"
"八つ","やっつ","восемь (предметов)"
"九つ","ここのつ","девять (предметов)"
"十","とお","десять (предметов)"
"いくつ","いくつ","сколько (предметов)"
"一人","ひとり","один человек"
"二人","ふたり","два человека"
"ー人","ーにん","～человек (счётчик людей)"
"ー台","ーだい","счётчик машин и техники"
"ー枚","ーまい","счётчик листов, марок"
"ー回","ーかい","счётчик раз"
"りんご","りんご","яблоко"
"みかん","みかん","мандарин"
"切手","きって","почтовая марка"
"はがき","はがき","открытка"
"封筒","ふうとう","конверт"
"速達","そくたつ","срочная доставка"
"書留","かきとめ","заказное письмо"
"航空便","こうくうびん","авиапочта"
"船便","ふなびん","морская почта"
"両親","りょうしｎ","родители"
"兄弟","きょうだい","братья и сёстры"
"兄","あに","(мой) старший брат"
"お兄さん","おにいさん","(чей-то) старший брат"
"姉","あね","(моя) старшая сестра"
"お姉さん","おねえさん","(чья-то) старшая сестра"
"弟","おとうと","(мой) младший брат"
"弟さん","おとうとさん","(чей-то) младший брат"
"妹","いもうと","(моя) младшая сестра"
"妹さん","いもうとさん","(чья-то) младшая сестра"
"外国","がいこく","зарубежная страна"
"ー時間","ーじかん","～часов"
"ー週間","ーしゅうかん","～недель"
"ーか月","ーかげつ","～месяцев"
"ー年","ーねん","～лет"
"～ぐらい","ーぐらい","около ~, примерно"
"どのくらい","どのくらい","сколько (по времени)"
"全部で","ぜんぶで","всего, в общей сложности"
"みんな","みんな","все, всё"
"～だけ","～だけ","только ~"
"天どん","てんどん","тэндон (рис с темпурой из рыбы и овощей)"
"親子どん","おやこどん","оякодон (рис с курицей и яйцом)"
"牛どん","ぎゅうどん","гюдон (рис с говядиной)"
"焼肉","やきにく","жареное мясо"
"野菜いため","やさいいため","овощи, обжаренные на сковороде"
"漬物","つけもの","цукэмоно (соленья)"
"みそ汁","みそしる","суп мисо"
"おにぎり","おにぎり","онигири (рисовый шарик)"
"うどん","うどん","удон (японская лапша)"
"","",""
"","",""
"Lesson 12:","",""
"簡単「な」","かんたん「な」","лёгкий, простой"
"近い","ちかい","близкий"
"遠い","とおい","далёкий"
"速い","はやい","быстрый"
"遅い","おそい","медленный, поздний"
"多い","おおい","многочисленный, много"
"少ない","すくない","немногочисленный, мало"
"暖かい","あたたかい","тёплый"
"涼しい","すずしい","прохладный"
"甘い","あまい","сладкий"
"辛い","からい","острый"
"重い","おもい","тяжёлый"
"軽い","かるい","лёгкий (по весу)"
"いい","いい","предпочтительнее (лучше кофе)"
"季節","きせつ","время года, сезон"
"春","はる","весна"
"夏","なつ","лето"
"秋","あき","осень"
"冬","ふゆ","зима"
"天気","てんき","погода"
"雨","あめ","дождь"
"雪","ゆき","снег"
"曇り","くもり","облачность, пасмурно"
"空港","くうこう","аэропорт"
"海","うみ","море, океан"
"世界","せかい","мир, свет"
"「お」祭り","「お」まつり","праздник, фестиваль"
"試験","しけん","экзамен"
"生け花","いけばな","икэбана (композиция из цветов)"
"紅葉","もみじ","осенние красные листья, клён"
"どちら","どちら","который (из двух)"
"どちらも","どちらも","оба, и тот и другой"
"ずっと","ずっと","намного, гораздо"
"ただいま","ただいま","я дома (вернулся)"
"お帰りなさい","おかえになさい","с возвращением"
"でも","でも","но, однако"
"疲れました","つかれました","я устал"
"","",""
"","",""
"","",""
"","",""
"Lesson 13:","",""
"遊びます","あそびます","развлекаться, проводить время"
"泳ぎます","およぎます","плавать"
"迎えます","むかえます","встречать (кого-либо)"
"疲れます","つかれます","уставать"
"出します","だします","отправлять (письмо)"
"入ります","はいります","входить, заходить (в кафе)"
"出ます","でます","выходить (из кафе)"
"結婚します","けっこんします","жениться, выходить замуж"
"買い物します","かいものします","делать покупки"
"食事します","しょくじします","есть, обедать"
"散歩します","さんぽします","гулять"
"大変「な」","たいへん「な」","трудный, тяжёлый"
"欲しい","ほしい","желать, хотеть (иметь)"
"寂しい","さびしい","одинокий, тоскливый"
"広い","ひろい","широкий, просторный"
"狭い","せまい","узкий, тесный"
"市役所","しやくしょ","мэрия, городская управа"
"経済","けいざい","экономика"
"美術","びじゅつ","изобразительное искусство"
"釣り","つり","рыбалка"
"会議","かいぎ","совещание, конференция"
"登録","とうろく","регистрация"
"週末","しゅうまつ","выходные"
"何か","なにか","что-нибудь"
"どこか","どこか","где-нибудь"
"おなかがすきました。","おなかがすきました。","я проголодался"
"おなかがいっばいです。","おなかがいっばいです。","я наелся"
"のどがかわきました。","のどがかわきました。","мне хочется пить"
"定食","ていしょく","комплексный обед"
"別々に","べつべつに","раздельно, по отдельности"
"博物館","はくぶつかん","музей"
"美術館","びじゅつかん","художественный музей"
"図書館","としょかん","библиотека"
"映画館","えいがかｎ","кинотеатр"
"動物園","どうぶつえん","зоопарк"
"植物園","しょくぶつえん","ботанический сад"
"遊園地","ゆうえんち","парк развлечений"
"教会","きょうかい","церковь (христианская)"
"体育館","たいくかん","спортзал"
"公園","こうえん","парк"
"大使館","たいしかん","посольство"
"入国管理局","にゅうこくかんりきょく","иммиграционная служба"
"交番","こうばん","полицейская будка"
"消防署","しょうぼしょ","пожарная часть"
"駐車場","ちゅしゃじょう","автостоянка"
"大学","だいがく","университет"
"高校","こうこう","старшая школа"
"中学校","ちゅうがっこう","средняя школа"
"小学校","しょうがっこう","начальная школа"
"幼稚園","とうちえん","детский сад"
"肉や","にくや","мясной магазин"
"魚屋","さかなや","рыбный магазин"
"酒屋","さかや","винный магазин"
"八百屋","やおや","овощной магазин"
"喫茶店","きっさてん","кафе"
"","",""
"","",""
"Lesson 14","",""
"つけます","つけます","включать"
"消します","けします","выключать"
"開けます","あけます","открывать"
"閉めます","しめます","закрывать"
"急ぎます","いそぎます","спешить, торопиться"
"待ちます","まちます","ждать"
"止めます","とめます","останавливать, парковать"
"曲がります","まがります","поворачивать"
"持ちます","もちます","держать"
"取ります","とります","брать, передавать"
"手伝います","てつだいます","помогать (в деле)"
"呼びます","よびます","звать, вызывать"
"話します","はなします","говорить, разговаривать"
"見せます","みせます","показывать"
"教えます","おしえます","сообщать, рассказывать"
"始めます","はじめます","начинать"
"降ります","ふります","идти (о дожде)"
"名前","なまえ","имя"
"住所","じゅうしゃ","адрес"
"地図","ちず","карта"
"塩","しお","соль"
"砂糖","さとう","сахар"
"読み方","よみかた","способ чтения"
"ゆっくり","ゆっくり","медленно, не торопясь"
"すぐ","すぐ","сразу, немедленно"
"また","また","снова, опять"
"あとで","あとで","позже, потом"
"もう少し","もうすこし","ещё немного"
"まっすぐ","まっすぐ","прямо"
"お釣り","おつり","сдача"
"切符売り場","きっぶうりば","билетная касса"
"自動券売機","じどうけんばいき","автомат по продаже билетов"
"精算機","せいさんき","автомат доплаты за проезд"
"改札口","かいさつぐち","турникет (билетный контроль)"
"出口","でぐち","выход"
"入口","いりぐち","вход"
"東口","ひがしぐち","восточный выход"
"西口","にしぐち","западный выход"
"南口","みなみぐち","южный выход"
"北口","きたぐち","северный выход"
"中央口","ちゅうおうぐち","центральный выход"
"売店","ばいてん","киоск"
"片道","かたみち","в одну сторону"
"往復","おうふく","туда и обратно"
"","",""
"Lesson 15","",""
"立ちます","たちます","вставать"
"座ります","すわります","садиться"
"使います","つかいます","использовать"
"置きます","おきます","класть, ставить"
"作ります","つくります","делать, производить"
"売ります","うります","продавать"
"知ります","しります","узнавать"
"住みます","すみます","жить, проживать"
"研究します","けんきょうします","проводить исследование"
"知っています","しっています","знать"
"住んでいます","すんでいます","жить (в каком-то месте)"
"資料","しりょう","материалы, данные"
"時刻表","じこくひょう","расписание"
"服","ふく","одежда"
"製品","せいひｎ","изделия, продукция"
"専門","せんもｎ","специальность"
"歯医者","はいしゃ","стоматолог; стоматология"
"床屋","とこや","парикмахерская (мужская)"
"独身","どくしん","холостой, незамужняя"
"特に","とくに","особенно"
"思い出します","おもいだします","вспоминать"
"会社員","かいしゃいん","служащий компании"
"公務員","こうむいん","государственный служащий"
"駅員","えきいん","работник станции"
"銀行員","ぎんこういん","банковский служащий"
"郵便局員","ゆうびんきょくいん","почтовый служащий"
"店員","てんにん","продавец"
"調理師","ちょうりし","повар"
"理容師","りようし","парикмахер (мужской)"
"美容師","びようし","парикмахер-стилист"
"教師","きょうし","учитель"
"弁護士","べんごし","адвокат"
"研究者","けんきゅうしゃ","исследователь"
"医者","いしゃ","врач"
"看護婦","かんごふ","медсестра"
"運転手","うんてんしゅ","водитель"
"警察官","けんさつかん","полицейский"
"外交官","がいこうかん","дипломат"
"政治家","せいじか","политик"
"画家","がか","художник"
"作家","さっか","писатель"
"音楽家","おんがくか","музыкант"
"建築家","けんちくか","архитектор"
"歌手","かしゅ","певец"
"俳優","はいゆう","актёр, актриса"
"","",""
"Lesson 16:","",""
"乗ります","のります","садиться (в транспорт)"
"降ります","おります","выходить (из транспорта)"
"乗り換えます","のりかえます","пересаживаться (на другой поезд)"
"浴びます","あびます","принимать (душ)"
"入れます","いれます","вкладывать, вставлять"
"出します","だします","вынимать, снимать (деньги)"
"入ります","はいります","поступать (в университет)"
"出ます","でます","оканчивать (учебное заведение)"
"やめます","やめます","бросать, прекращать"
"押します","おします","толкать, нажимать"
"若い","わかい","молодой"
"長い","ながい","длинный"
"短い","みじかい","короткий"
"明るい","あかるい","светлый, яркий"
"暗い","くらい","тёмный"
"背が高い","せがたかい","высокий (о человеке)"
"頭がいい","あたまがいい","умный, сообразительный"
"体","からだ","тело"
"頭","あたま","голова"
"髪","かみ","волосы"
"顔","かお","лицо"
"目","め","глаз"
"耳","みみ","ухо"
"口","くち","рот"
"歯","は","зуб"
"おなか","おなか","живот"
"足","あし","нога"
"緑","みどり","зелёный; зелень"
"｢お｣寺","「お」てら","буддийский храм"
"神社","じんじゃ","синтоистский храм"
"留学生","りょうがくせい","студент-иностранец"
"まず","まず","прежде всего, сначала"
"お引き出しですか。","おひきだしですか。","вы снимаете деньги?"
"次に","つぎに","затем (следующий шаг)"
"お預け入れ","おあずけいれ","внесение вклада"
"お振込み","おふりこみ","перевод (платёж)"
"お振り替え","おふりかえ","перевод (денег)"
"お引き出しですか。","おひきだしですか。","снятие денег"
"通表記入","つうちょうきにゅう","обновление сберкнижки"
"残高照会","ざんだかしょうかい","запрос остатка на счёте"
"暗所番号","おんしょうばんごう","личный идентификационный номер (ПИН)"
"","",""
"","",""
"Lesson 17:","",""
"覚えます","おばえます","запоминать"
"忘れます","わすれます","забывать"
"なくします","なくします","терять"
"出します","だします","сдавать (отчёт)"
"払います","はらいます","платить"
"返します","かえします","возвращать, отдавать"
"出かけます","でかけます","выходить (из дома)"
"脱ぎます","ねぎます","снимать (одежду)"
"持っていきます","もっていきます","брать с собой (туда)"
"持ってきます","もってきます","приносить (сюда)"
"心配します","しんぱいします","беспокоиться"
"残業します","ざんぎょうします","работать сверхурочно"
"出張します","しゅっちょうします","ехать в командировку"
"大切「な」","たいせつ「な」","важный"
"大丈夫「な」","だいしょうぶ「な」","в порядке, ничего страшного"
"危ない","あぶない","опасный"
"問題","もんだい","вопрос, проблема"
"答え","こたえ","ответ"
"禁煙","きんえん","не курить (запрет курения)"
"保険証","ほけんしょう","страховое свидетельство"
"かぜ","かぜ","простуда"
"熱","ねつ","температура (жар)"
